tool,formula,variables,formula_id,output,time
all,(G(Fp1|!p0)&G(p3|!p1)&((p2&p0)|(Xp3&p2))&G(G(p2|!p3)|!p2)),#p#q#r#s,37,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((!q) || (s)))) && (((((p) && (r))) || (((r) && (X(s)))))) && ([](((!p) || (<>(q))))) && ([](((!r) || ([](((r) || (!s)))))))),#p#q#r#s,37,UNSAT,0.02
NUSMV_v260,((G(((!q) | (s)))) & (((((p) & (r))) | (((r) & (X(s)))))) & (G(((!p) | (F(q))))) & (G(((!r) | (G(((r) | (!s)))))))),#p#q#r#s,37,SAT,0.03
all,(((Fp3&p2)W(Xp0&p2))&G(Fp1|!p0)&G(p3|!p1)&G(G(p2|!p3)|!p2)),#p#q#r#s,38,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!p) || (<>(q))))) && ((((([](r)) && ([](<>(s))))) || (((((r) && (<>(s)))) U (((r) && (X(p)))))))) && ([](((!r) || ([](((r) || (!s)))))))),#p#q#r#s,38,UNSAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!p) | (F(q))))) & (((((G(r)) & (G(F(s))))) | (((((r) & (F(s)))) U (((r) & (X(p)))))))) & (G(((!r) | (G(((r) | (!s)))))))),#p#q#r#s,38,SAT,0.02
all,(((F(G!p1&p0)U(G!p1&p0))|(GF(p0&Fp1)&p2))&G(Fp1|!p0)&G(p3|!p1)&G(G(p2|!p3)|!p2)),#p#q#r#s,39,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!p) || (<>(q))))) && ([](((!r) || ([](((r) || (!s))))))) && (((((<>(((p) && ([](!q))))) U (((p) && ([](!q)))))) || (((r) && ([](<>(((p) && (<>(q))))))))))),#p#q#r#s,39,UNSAT,0.02
NUSMV_v260,((G(((!q) | (s)))) & (G(((!p) | (F(q))))) & (G(((!r) | (G(((r) | (!s))))))) & (((((F(((p) & (G(!q))))) U (((p) & (G(!q)))))) | (((r) & (G(F(((p) & (F(q))))))))))),#p#q#r#s,39,SAT,0.02
all,(G(Fp1|!p0)&G(p3|!p1)&((GFp0&p2)WF(Fp3&p2))&G(G(p2|!p3)|!p2)),#p#q#r#s,40,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!p) || (<>(q))))) && ((((([](r)) && ([](<>(p))))) || (<>(((r) && (<>(s))))))) && ([](((!r) || ([](((r) || (!s)))))))),#p#q#r#s,40,SAT,0.02
NUSMV_v260,((G(((!q) | (s)))) & (G(((!p) | (F(q))))) & (((((G(r)) & (G(F(p))))) | (F(((r) & (F(s))))))) & (G(((!r) | (G(((r) | (!s)))))))),#p#q#r#s,40,SAT,0.03
all,(G(G(p2|!p3)|!p2)&p2&G(p3|!p1)&G(Fp1|!p0)&(Fp0|Fp1)),#p#q#r#s,41,DIFF-SAT-UNSAT,no-time
SPIN_v651,((r) && (((<>(p)) || (<>(q)))) && ([](((!q) || (s)))) && ([](((!p) || (<>(q))))) && ([](((!r) || ([](((r) || (!s)))))))),#p#q#r#s,41,UNSAT,0.03
NUSMV_v260,((r) & (((F(p)) | (F(q)))) & (G(((!q) | (s)))) & (G(((!p) | (F(q))))) & (G(((!r) | (G(((r) | (!s)))))))),#p#q#r#s,41,SAT,0.03
all,(G(Fp1|!p0)&G(p3|!p1)&(X(Fp3&p2)|F(G!p1&p0))&G(G(p2|!p3)|!p2)),#p#q#r#s,42,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!p) || (<>(q))))) && (((<>(((p) && ([](!q))))) || (X(((r) && (<>(s))))))) && ([](((!r) || ([](((r) || (!s)))))))),#p#q#r#s,42,SAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!p) | (F(q))))) & (((F(((p) & (G(!q))))) | (X(((r) & (F(s))))))) & (G(((!r) | (G(((r) | (!s)))))))),#p#q#r#s,42,SAT,0.03
all,(G(Fp1|!p0)&G(p3|!p1)&(F(G!p1&p0)|(Fp3&p2))&G(G(p2|!p3)|!p2)),#p#q#r#s,43,DIFF-SAT-UNSAT,no-time
